country;year;gdp;directContributionToGdpDollars;employmentNumberJobs;expendituresDollars;receiptsDollars;arrivalsWW;departuresWW;population;percentageContributionGdp
European Union;2000;8913487000000;615551625000;11856394;225152000000;238222000000;316765000;318938000;487865459; 6.906
European Union;2001;8996697000000;610729054000;11778963;224195000000;236107000000;311507000;319718000;489073595; 6.788
European Union;2002;9827637000000;582348755000;11231876;240611000000;250643000000;317675000;317782000;490424475; 5.926
European Union;2003;11951196000000;558557550000;10869221;284806000000;292548000000;332767000;327329000;492252932; 4.674
European Union;2004;13794021000000;563615783000;10846800;322438000000;339532000000;354257000;345907000;494232263; 4.086
European Union;2005;14431264000000;563929798000;10971750;339214000000;346284000000;369061000;375793000;496200867; 3.908
European Union;2006;15386678000000;578036934000;11206003;354396000000;375395000000;388888000;376778000;498074489; 3.757
European Union;2007;17789686000000;580646345000;11130707;407771000000;428032000000;399650000;398796000;499915977; 3.264
European Union;2008;19199097000000;567668715000;10919171;436706000000;456911000000;394456000;393197000;501803925; 2.957
European Union;2009;17117533000000;531908073000;10624023;373120000000;395001000000;375922000;366404000;503310374; 3.107
European Union;2010;16997853000000;538724277000;10481516;371756000000;390432000000;384805000;296253000;504412209; 3.169
European Union;2011;18350763000000;561648271000;10643207;403359000000;439806000000;405973000;302226000;505526581; 3.061
European Union;2012;17288674000000;566146564000;10787426;387711000000;425081000000;416765000;390161000;505098575; 3.275
European Union;2013;18011913000000;576312687000;10849654;411618000000;457591000000;424165000;398241000;508050888; 3.2
European Union;2014;18579955000000;591970366000;11111868;434398000000;480437000000;446455000;372067000;508344735; 3.186
European Union;2015;16300449000000;605555437000;11342805;-1;-1;-1;-1;509668361; 3.715
European Union;2016;16518722000000;624183948000;11547980;-1;-1;-1;-1;-1; 3.779
